"Situação dos Órgãos e Entidades do Ente Federativo"
"Data da Pesquisa: 02/09/2026"
"Ente Federativo: 06.354.468/0001-60 - Maranhão"
"Observação: As datas mencionadas nas colunas dos itens referem-se à validade da comprovação do item, conforme exigido para fins de verificação documental."
""
"CNPJ";"Nome";"Tipo de Administração";"Regularidade Fiscal";"1.1";"1.2";"1.3";"1.4";"1.5";"2.1.1";"2.1.2";"3.1.1";"3.1.2";"3.2.1";"3.2.2";"3.2.3";"3.2.4";"3.3";"3.4.1";"3.4.2";"3.5";"3.6";"3.7";"4.1";"4.2";"4.3";"5.1";"5.2";"5.3";"5.4";"5.5";"5.6";"5.7";"5.8"
"06.354.468/0001-60";"ESTADO DO MARANHAO";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"30/09/2026";"30/09/2026";"30/09/2026";"30/09/2026";"30/09/2026";"30/09/2026";"30/04/2027";"30/09/2026";"31/03/2027";"02/09/2026";"02/09/2026";"02/09/2026";"31/05/2027";"11/11/2026";"02/09/2026";"30/01/2027";"02/09/2026";"30/09/2026";"30/09/2026";"30/01/2027";"30/01/2027";"30/01/2027";"30/04/2027"
"13.127.340/0001-20";"SECRETARIA DE ESTADO DE ADMINISTRACAO PENITENCIARIA - SEAP";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"22.573.342/0001-33";"11 BATALHAO DE BOMBEIROS MILITAR";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"08.918.125/0001-07";"11 BATALHAO DE POLICIA MILITAR";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"23.299.066/0001-20";"12 BATALHAO DE BOMBEIROS MILITAR";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"32.841.399/0001-20";"14A COMPANHIA INDEPENDENTE DE BOMBEIROS MILITAR (14A CIBM)";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"31.043.016/0001-05";"16 BATALHAO DE BOMBEIROS MILITAR (16 BBM)";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"07.561.049/0001-62";"16 BATALHAO DE POLICIA MILITAR - 16. BPM";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"07.572.096/0001-01";"17 BATALHAO DE POLICIA MILITAR - BPM";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"23.829.292/0001-75";"1: COMPANHIA INDEPENDENTE DE BOMBEIROS MILITAR";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
